,date,signal,spy_close_price
0,1325548800.0,3.10776699,127.495
1,1325635200.0,3.107281553,127.7
2,1325721600.0,3.0997572819999997,128.04
3,1325808000.0,3.134223301,127.71
4,1326067200.0,3.13592233,128.02
5,1326153600.0,3.143446602,129.13
6,1326240000.0,3.127184466,129.2
7,1326326400.0,3.1393203880000002,129.51
8,1326412800.0,3.174029126,128.84
9,1326758400.0,3.1907766989999997,129.34
10,1326844800.0,3.2026699030000003,130.77
11,1326931200.0,3.1944174760000004,131.46
12,1327017600.0,3.1907766989999997,131.95
13,1327276800.0,3.217475728,131.61
14,1327363200.0,3.200970874,131.46
15,1327449600.0,3.199514563,132.56
16,1327536000.0,3.188592233,131.88
17,1327622400.0,3.1873786410000005,131.82
18,1327881600.0,3.215291262,131.37
19,1327968000.0,3.22038835,131.32
20,1328054400.0,3.263349515,132.47
21,1328140800.0,3.2655339810000004,132.68
22,1328227200.0,3.2716019419999998,134.54
23,1328486400.0,3.28131068,134.45
24,1328572800.0,3.285436893,134.79
25,1328659200.0,3.26118932,135.19
26,1328745600.0,3.285436893,135.36
27,1328832000.0,3.28131068,134.361
28,1329091200.0,3.266019417,135.36
29,1329177600.0,3.302160194,135.19
30,1329264000.0,3.31092233,134.56
31,1329350400.0,3.3123786410000005,136.049
32,1329436800.0,3.301747573,136.41
33,1329782400.0,3.3162864080000003,136.47
34,1329868800.0,3.3235436889999996,136.032
35,1329955200.0,3.329126214,136.631
36,1330041600.0,3.33881068,136.93
37,1330300800.0,3.325728155,137.16
38,1330387200.0,3.342961165,137.559
39,1330473600.0,3.332815534,137.02
40,1330560000.0,3.319174757,137.73
41,1330646400.0,3.293446602,137.312
42,1330905600.0,3.270631068,136.75
43,1330992000.0,3.3262135919999998,134.75
44,1331078400.0,3.33907767,135.69
45,1331164800.0,3.339320388,137.04
46,1331251200.0,3.399563107,137.57
47,1331510400.0,3.395873786,137.58
48,1331596800.0,3.4155339810000003,140.062
49,1331683200.0,3.405339806,139.91
50,1331769600.0,3.41868932,140.72
51,1331856000.0,3.408737864,140.3
52,1332115200.0,3.40315534,140.85
53,1332201600.0,3.3786407769999998,140.44
54,1332288000.0,3.389563107,140.21
55,1332374400.0,3.437135922,139.2
56,1332460800.0,3.4264563110000004,139.65
57,1332720000.0,3.409466019,141.61
58,1332806400.0,3.4036407769999997,141.17
59,1332892800.0,3.417718447,140.47
60,1332979200.0,3.442718447,140.23
61,1333065600.0,3.428640777,140.81
62,1333324800.0,3.3946601939999996,141.84
63,1333411200.0,3.392961165,141.26
64,1333497600.0,3.354854369,139.86
65,1333584000.0,3.2985436889999997,139.79
66,1333929600.0,3.325242718,138.22
67,1334016000.0,3.36868932,135.9
68,1334102400.0,3.328640777,137.0
69,1334188800.0,3.3264563110000003,138.79
70,1334275200.0,3.3757766989999998,137.14
71,1334534400.0,3.3643203880000003,137.05
72,1334620800.0,3.3427184469999998,139.082
73,1334707200.0,3.3483009710000005,138.61
74,1334793600.0,3.3201456310000004,137.72
75,1334880000.0,3.33276699,137.95
76,1335139200.0,3.378398058,136.79
77,1335225600.0,3.401941748,137.31
78,1335312000.0,3.407524272,139.19
79,1335398400.0,3.394902913,140.16
80,1335484800.0,3.416019417,140.39
81,1335744000.0,3.4059466019999998,139.87
82,1335830400.0,3.314320388,140.74
83,1335916800.0,3.325242718,140.325
84,1336003200.0,3.3276699030000003,139.25
85,1336089600.0,3.379854369,137.0
86,1336348800.0,3.2946601939999995,137.1
87,1336435200.0,3.3014563110000004,136.55
88,1336521600.0,3.291504854,135.74
89,1336608000.0,3.255097087,136.02
90,1336694400.0,3.2364077669999998,135.61
91,1336953600.0,3.224004854,134.11
92,1337040000.0,3.176213592,133.34
93,1337126400.0,3.1490291260000003,132.829
94,1337212800.0,3.20315534,130.86
95,1337299200.0,3.2087378639999997,129.74
96,1337558400.0,3.2104368930000002,131.97
97,1337644800.0,3.216747573,132.2
98,1337731200.0,3.20631068,132.27
99,1337817600.0,3.245145631,132.53
100,1337904000.0,3.198058252,132.1
101,1338249600.0,3.1910194169999997,133.7
